0 0:0.000000 1:0.000000 2:0.041180 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:0.000000 13:0.028558 14:0.064719 15:0.000000 16:0.000000 17:0.000000 18:0.000000 19:0.000000 20:0.000000 21:0.000000 22:0.000000 23:0.028078 24:0.000000 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.072796 30:0.000000 31:0.000000 32:0.000000 33:0.068468 34:0.059893 35:0.000000 36:0.000000 37:0.000000 38:0.000000 39:0.000000 40:0.000000 41:0.000000 42:0.000000 43:0.028558 44:0.000000 45:0.080874 46:0.000000 47:0.000000 48:0.218388 49:0.068468 50:0.028078 51:0.042740 52:0.000000 53:0.000000 54:0.041180 55:0.000000 56:0.000000 57:0.000000 58:0.000000 59:0.028078 60:0.000000 61:0.072796 62:0.000000 63:0.000000 64:0.000000 65:0.000000 66:0.028558 67:0.000000 68:0.218388 69:0.000000 70:0.000000 71:0.029543 72:0.000000 73:0.000000 74:0.041180 75:0.000000 76:0.000000 77:0.028078 78:0.000000 79:0.000000 80:0.000000 81:0.028078 82:0.000000 83:0.000000 84:0.000000 85:0.000000 86:0.000000 87:0.000000 88:0.028078 89:0.059893 90:0.028078 91:0.042740 92:0.000000 93:0.000000 
0 0:0.000000 1:0.000000 2:0.033340 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:0.000000 13:0.023121 14:0.052398 15:0.000000 16:0.000000 17:0.000000 18:0.000000 19:0.136311 20:0.000000 21:0.046216 22:0.000000 23:0.022733 24:0.000000 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.000000 34:0.000000 35:0.000000 36:0.068155 37:0.000000 38:0.053865 39:0.000000 40:0.000000 41:0.000000 42:0.000000 43:0.023121 44:0.052398 45:0.000000 46:0.000000 47:0.000000 48:0.058938 49:0.055434 50:0.022733 51:0.034604 52:0.000000 53:0.000000 54:0.033340 55:0.000000 56:0.000000 57:0.000000 58:0.000000 59:0.022733 60:0.000000 61:0.000000 62:0.000000 63:0.068155 64:0.000000 65:0.000000 66:0.023121 67:0.052398 68:0.058938 69:0.060916 70:0.000000 71:0.023919 72:0.000000 73:0.000000 74:0.033340 75:0.000000 76:0.000000 77:0.022733 78:0.000000 79:0.058938 80:0.000000 81:0.022733 82:0.000000 83:0.065478 84:0.000000 85:0.000000 86:0.000000 87:0.000000 88:0.022733 89:0.000000 90:0.022733 91:0.034604 92:0.000000 93:0.000000 
0 0:0.000000 1:0.000000 2:0.027913 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:0.000000 13:0.019358 14:0.043868 15:0.000000 16:0.000000 17:0.000000 18:0.000000 19:0.057060 20:0.000000 21:0.000000 22:0.000000 23:0.019032 24:0.000000 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.049343 30:0.000000 31:0.000000 32:0.000000 33:0.046410 34:0.000000 35:0.000000 36:0.000000 37:0.057060 38:0.000000 39:0.000000 40:0.000000 41:0.038693 42:0.000000 43:0.019358 44:0.000000 45:0.054819 46:0.000000 47:0.000000 48:0.148030 49:0.046410 50:0.019032 51:0.057941 52:0.000000 53:0.000000 54:0.027913 55:0.000000 56:0.000000 57:0.000000 58:0.000000 59:0.019032 60:0.000000 61:0.049343 62:0.000000 63:0.000000 64:0.000000 65:0.000000 66:0.019358 67:0.000000 68:0.148030 69:0.000000 70:0.000000 71:0.020025 72:0.000000 73:0.000000 74:0.027913 75:0.000000 76:0.000000 77:0.019032 78:0.000000 79:0.098687 80:0.166087 81:0.019032 82:0.000000 83:0.000000 84:0.000000 85:0.000000 86:0.000000 87:0.000000 88:0.019032 89:0.000000 90:0.019032 91:0.057941 92:0.000000 93:0.000000 
0 0:0.054360 1:0.000000 2:0.019148 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.024267 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:0.000000 13:0.013279 14:0.090281 15:0.032804 16:0.000000 17:0.000000 18:0.029302 19:0.000000 20:0.033849 21:0.000000 22:0.034986 23:0.013056 24:0.000000 25:0.000000 26:0.025355 27:0.000000 28:0.098413 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.063674 34:0.055700 35:0.000000 36:0.039143 37:0.000000 38:0.000000 39:0.000000 40:0.000000 41:0.159259 42:0.023755 43:0.013279 44:0.120374 45:0.000000 46:0.000000 47:0.000000 48:0.000000 49:0.000000 50:0.013056 51:0.019874 52:0.000000 53:0.054360 54:0.019148 55:0.000000 56:0.024267 57:0.000000 58:0.000000 59:0.013056 60:0.098413 61:0.000000 62:0.000000 63:0.039143 64:0.000000 65:0.000000 66:0.013279 67:0.120374 68:0.000000 69:0.000000 70:0.023755 71:0.013737 72:0.000000 73:0.054360 74:0.019148 75:0.024267 76:0.000000 77:0.013056 78:0.000000 79:0.033849 80:0.091149 81:0.013056 82:0.000000 83:0.000000 84:0.000000 85:0.000000 86:0.000000 87:0.029302 88:0.013056 89:0.055700 90:0.013056 91:0.019874 92:0.000000 93:0.000000 
0 0:0.000000 1:0.000000 2:0.019973 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.025312 8:0.042647 9:0.000000 10:0.000000 11:0.000000 12:0.000000 13:0.027702 14:0.000000 15:0.000000 16:0.000000 17:0.030564 18:0.000000 19:0.000000 20:0.035307 21:0.083058 22:0.000000 23:0.013618 24:0.000000 25:0.000000 26:0.000000 27:0.000000 28:0.068434 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.033208 34:0.000000 35:0.000000 36:0.081658 37:0.000000 38:0.032268 39:0.000000 40:0.000000 41:0.027686 42:0.024778 43:0.013851 44:0.031389 45:0.000000 46:0.000000 47:0.000000 48:0.070614 49:0.000000 50:0.013618 51:0.041459 52:0.000000 53:0.000000 54:0.019973 55:0.000000 56:0.025312 57:0.042647 58:0.000000 59:0.013618 60:0.068434 61:0.000000 62:0.000000 63:0.081658 64:0.000000 65:0.000000 66:0.013851 67:0.031389 68:0.070614 69:0.109476 70:0.024778 71:0.014329 72:0.000000 73:0.000000 74:0.019973 75:0.025312 76:0.042647 77:0.013618 78:0.000000 79:0.000000 80:0.095074 81:0.013618 82:0.000000 83:0.000000 84:0.000000 85:0.000000 86:0.000000 87:0.000000 88:0.013618 89:0.000000 90:0.013618 91:0.041459 92:0.000000 93:0.000000 
0 0:0.000000 1:0.000000 2:0.029185 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:0.000000 13:0.020239 14:0.045867 15:0.099997 16:0.000000 17:0.044660 18:0.000000 19:0.000000 20:0.000000 21:0.040456 22:0.000000 23:0.019899 24:0.000000 25:0.000000 26:0.000000 27:0.000000 28:0.049999 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.048524 34:0.000000 35:0.000000 36:0.000000 37:0.000000 38:0.000000 39:0.000000 40:0.000000 41:0.000000 42:0.036206 43:0.040479 44:0.091734 45:0.000000 46:0.000000 47:0.000000 48:0.000000 49:0.048524 50:0.019899 51:0.030290 52:0.000000 53:0.000000 54:0.029185 55:0.000000 56:0.000000 57:0.000000 58:0.000000 59:0.019899 60:0.049999 61:0.000000 62:0.000000 63:0.000000 64:0.000000 65:0.000000 66:0.040479 67:0.091734 68:0.000000 69:0.000000 70:0.000000 71:0.020938 72:0.000000 73:0.000000 74:0.029185 75:0.000000 76:0.000000 77:0.019899 78:0.000000 79:0.000000 80:0.000000 81:0.019899 82:0.057316 83:0.000000 84:0.000000 85:0.000000 86:0.000000 87:0.000000 88:0.019899 89:0.000000 90:0.019899 91:0.030290 92:0.000000 93:0.000000 
0 0:0.000000 1:0.000000 2:0.007888 3:0.009786 4:0.000000 5:0.009583 6:0.000000 7:0.000000 8:0.000000 9:0.012397 10:0.000000 11:0.000000 12:0.000000 13:0.005470 14:0.037191 15:0.000000 16:0.000000 17:0.000000 18:0.000000 19:0.145125 20:0.000000 21:0.010934 22:0.014412 23:0.005378 24:0.000000 25:0.000000 26:0.010445 27:0.055777 28:0.027027 29:0.083665 30:0.000000 31:0.044774 32:0.000000 33:0.052461 34:0.022945 35:0.000000 36:0.000000 37:0.032250 38:0.000000 39:0.000000 40:0.000000 41:0.185884 42:0.000000 43:0.005470 44:0.037191 45:0.294338 46:0.000000 47:0.048375 48:0.125498 49:0.013115 50:0.005378 51:0.000000 52:0.000000 53:0.000000 54:0.007888 55:0.009786 56:0.000000 57:0.000000 58:0.000000 59:0.005378 60:0.027027 61:0.083665 62:0.044774 63:0.000000 64:0.000000 65:0.000000 66:0.005470 67:0.037191 68:0.125498 69:0.000000 70:0.000000 71:0.005659 72:0.000000 73:0.000000 74:0.007888 75:0.000000 76:0.000000 77:0.005378 78:0.000000 79:0.111554 80:0.056323 81:0.005378 82:0.015491 83:0.000000 84:0.000000 85:0.000000 86:0.009786 87:0.000000 88:0.005378 89:0.022945 90:0.005378 91:0.000000 92:0.000000 93:0.016125 
1 0:0.000000 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:0.000000 13:0.026189 14:0.059350 15:0.000000 16:0.045877 17:0.000000 18:0.000000 19:0.000000 20:0.066757 21:0.052348 22:0.000000 23:0.025749 24:0.000000 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.169210 31:0.000000 32:0.000000 33:0.000000 34:0.054925 35:0.000000 36:0.000000 37:0.000000 38:0.000000 39:0.000000 40:0.000000 41:0.000000 42:0.000000 43:0.026189 44:0.000000 45:0.000000 46:0.000000 47:0.000000 48:0.000000 49:0.000000 50:0.025749 51:0.000000 52:0.000000 53:0.000000 54:0.000000 55:0.000000 56:0.000000 57:0.000000 58:0.000000 59:0.025749 60:0.000000 61:0.000000 62:0.000000 63:0.000000 64:0.000000 65:0.000000 66:0.026189 67:0.000000 68:0.000000 69:0.000000 70:0.000000 71:0.000000 72:0.000000 73:0.000000 74:0.000000 75:0.000000 76:0.000000 77:0.025749 78:0.000000 79:0.000000 80:0.044940 81:0.025749 82:0.000000 83:0.000000 84:0.000000 85:0.000000 86:0.000000 87:0.000000 88:0.025749 89:0.054925 90:0.025749 91:0.000000 92:0.066757 93:0.000000 
1 0:0.000000 1:0.000000 2:0.023653 3:0.029343 4:0.052991 5:0.028734 6:0.000000 7:0.000000 8:0.202018 9:0.037172 10:0.000000 11:0.000000 12:0.000000 13:0.016403 14:0.000000 15:0.000000 16:0.028734 17:0.000000 18:0.036195 19:0.000000 20:0.000000 21:0.000000 22:0.000000 23:0.016127 24:0.000000 25:0.000000 26:0.031320 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.039326 34:0.000000 35:0.000000 36:0.000000 37:0.000000 38:0.000000 39:0.000000 40:0.000000 41:0.000000 42:0.000000 43:0.016403 44:0.000000 45:0.000000 46:0.000000 47:0.000000 48:0.000000 49:0.000000 50:0.016127 51:0.000000 52:0.000000 53:0.000000 54:0.023653 55:0.029343 56:0.000000 57:0.202018 58:0.000000 59:0.016127 60:0.000000 61:0.000000 62:0.000000 63:0.000000 64:0.000000 65:0.000000 66:0.016403 67:0.000000 68:0.000000 69:0.000000 70:0.000000 71:0.016969 72:0.000000 73:0.000000 74:0.023653 75:0.000000 76:0.202018 77:0.016127 78:0.000000 79:0.000000 80:0.000000 81:0.016127 82:0.000000 83:0.000000 84:0.000000 85:0.000000 86:0.029343 87:0.036195 88:0.016127 89:0.000000 90:0.016127 91:0.000000 92:0.041812 93:0.000000 
1 0:0.056574 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:0.000000 6:0.070456 7:0.000000 8:0.000000 9:0.000000 10:0.062638 11:0.000000 12:0.000000 13:0.027640 14:0.062638 15:0.068281 16:0.048419 17:0.121981 18:0.000000 19:0.000000 20:0.000000 21:0.055248 22:0.000000 23:0.027176 24:0.000000 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.000000 32:0.162950 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.000000 38:0.000000 39:0.000000 40:0.000000 41:0.000000 42:0.049444 43:0.027640 44:0.000000 45:0.000000 46:0.000000 47:0.000000 48:0.000000 49:0.000000 50:0.027176 51:0.041366 52:0.000000 53:0.056574 54:0.000000 55:0.000000 56:0.000000 57:0.000000 58:0.062638 59:0.027176 60:0.000000 61:0.000000 62:0.000000 63:0.000000 64:0.000000 65:0.000000 66:0.027640 67:0.000000 68:0.000000 69:0.000000 70:0.000000 71:0.028594 72:0.000000 73:0.056574 74:0.000000 75:0.000000 76:0.000000 77:0.027176 78:0.000000 79:0.000000 80:0.000000 81:0.027176 82:0.000000 83:0.000000 84:0.060991 85:0.000000 86:0.000000 87:0.000000 88:0.027176 89:0.000000 90:0.027176 91:0.041366 92:0.140912 93:0.000000 
